iter	Logloss
0	0.6903303637
1	0.6870981957
2	0.6849707851
3	0.6825957047
4	0.6801001629
5	0.6779781545
6	0.6755460778
7	0.6734504684
8	0.6711924939
9	0.6695775267
10	0.6681076197
11	0.6663797337
12	0.6645189174
13	0.6625597282
14	0.6606167764
15	0.6588284826
16	0.657263297
17	0.6557307702
18	0.6541838274
19	0.6526802948
20	0.6511558401
21	0.6497990628
22	0.6486130534
23	0.6471256
24	0.6458213969
25	0.6447478042
26	0.6437373824
27	0.6426450601
28	0.6412518397
29	0.6400613597
30	0.6390642819
31	0.6378249645
32	0.6367143346
33	0.6357253395
34	0.6343779088
35	0.6334805043
36	0.6322779074
37	0.6311732646
38	0.6302897907
39	0.6294713175
40	0.6285472383
41	0.6272189919
42	0.626340163
43	0.6256579971
44	0.6248815717
45	0.623890809
46	0.622942805
47	0.6217168984
48	0.6210916029
49	0.6200436426
50	0.6192817248
51	0.6184843802
52	0.6177487688
53	0.6168031557
54	0.6160014649
55	0.6151028724
56	0.6145039389
57	0.6138372554
58	0.6131657111
59	0.6123241464
60	0.6114765996
61	0.6106035001
62	0.609893307
63	0.6090681878
64	0.6082132433
65	0.6076654668
66	0.6071392877
67	0.6065603342
68	0.6059973661
69	0.6054729672
70	0.6046786791
71	0.6037772961
72	0.6028646219
73	0.6022696855
74	0.6016189252
75	0.6010305442
76	0.6004379815
77	0.5999523422
78	0.5993111441
79	0.5986005388
80	0.5980063522
81	0.5973938928
82	0.5969029476
83	0.5963667975
84	0.5958051012
85	0.595115368
86	0.5945263395
87	0.5939478027
88	0.5934815625
89	0.592999258
90	0.5925130697
91	0.5920954835
92	0.5915022083
93	0.5909625268
94	0.5904653373
95	0.5899530697
96	0.589591619
97	0.5890708062
98	0.5885855192
99	0.5882552806
100	0.5877388892
101	0.5872335492
102	0.5868274709
103	0.5863157353
104	0.5858165574
105	0.58537975
106	0.5850977214
107	0.5845085359
108	0.5839742778
109	0.5836695999
110	0.5831847288
111	0.5827277898
112	0.5821524092
113	0.5816947627
114	0.58124282
115	0.580883679
116	0.5803772654
117	0.5799769239
118	0.5796195898
119	0.5791022921
120	0.5785703405
121	0.5781438432
122	0.5776137565
123	0.5770930867
124	0.576846611
125	0.5763886404
126	0.5759547219
127	0.5756160694
128	0.5751397492
129	0.5748273736
130	0.5744278634
131	0.5740157506
132	0.5736260237
133	0.5732409942
134	0.5728088112
135	0.5723407295
136	0.571988098
137	0.5715900274
138	0.5710442781
139	0.5706856267
140	0.5703656045
141	0.5700278759
142	0.5696331721
143	0.5692481513
144	0.5688132148
145	0.5685669711
146	0.5681422993
147	0.5677992604
148	0.5674486148
149	0.5670360378
150	0.566609539
151	0.5662579743
152	0.5657852848
153	0.5654873481
154	0.5650330823
155	0.5646332062
156	0.5642543887
157	0.5638549931
158	0.5635398891
159	0.5631798113
160	0.5629269165
161	0.5626276241
162	0.5622655534
163	0.5620459183
164	0.5617954701
165	0.5615760225
166	0.5612824157
167	0.5610545339
168	0.5607437462
169	0.5603084349
170	0.5599545006
171	0.559543955
172	0.5593026846
173	0.5589166295
174	0.5584884767
175	0.5580833791
176	0.5577274992
177	0.5572539589
178	0.5568599225
179	0.5564835581
180	0.5561677512
181	0.5557809818
182	0.5553920659
183	0.5550605961
184	0.5548610976
185	0.5545308046
186	0.5542756775
187	0.553967996
188	0.5535400434
189	0.5531847533
190	0.5528859306
191	0.5525377893
192	0.5523039714
193	0.5521306633
194	0.5517741506
195	0.5514753158
196	0.5511579307
197	0.5508871825
198	0.5505797051
199	0.550202699
200	0.5499829029
201	0.5494524249
202	0.549163239
203	0.5489096717
204	0.5486919967
205	0.5485006547
206	0.5482709092
207	0.5479932997
208	0.5476676799
209	0.5474223224
210	0.5471131072
211	0.5469178799
212	0.54658116
213	0.546409857
214	0.54598704
215	0.5457608549
216	0.5455224106
217	0.5453326933
218	0.5450424562
219	0.54478447
220	0.5445334594
221	0.5442187145
222	0.5439413366
223	0.543675989
224	0.5433677201
225	0.5430828947
226	0.5427409255
227	0.5425291086
228	0.5421789598
229	0.5419492504
230	0.5417265348
231	0.5414914583
232	0.5412038498
233	0.540890408
234	0.5407852224
235	0.5405942987
236	0.5403914365
237	0.5400923954
238	0.5398140437
239	0.5395783914
240	0.5393425854
241	0.5390265091
242	0.5388296211
243	0.5386780289
244	0.5384247935
245	0.5381852563
246	0.5379355108
247	0.5376586922
248	0.5374153383
249	0.5372243751
250	0.5367943669
251	0.5365646927
252	0.5363387332
253	0.5360959353
254	0.535861
255	0.5356161101
256	0.5353810423
257	0.5351210492
258	0.5349104188
259	0.5347882458
260	0.5345716078
261	0.5343390153
262	0.5341162665
263	0.5338242587
264	0.5336157558
265	0.5334050597
266	0.5331886811
267	0.5329532207
268	0.5327387449
269	0.5324944848
270	0.5322766725
271	0.5321025219
272	0.5318534458
273	0.5316283857
274	0.531273474
275	0.5310401855
276	0.530777677
277	0.5305433819
278	0.5303199245
279	0.5301414234
280	0.5298877619
281	0.5296346714
282	0.5293357255
283	0.5290627291
284	0.5289030611
285	0.5286915951
286	0.5284947882
287	0.5281983046
288	0.5279592393
289	0.5277894256
290	0.5275221847
291	0.5273105392
292	0.5270968722
293	0.5268852785
294	0.5266234217
295	0.5264496831
296	0.5261258236
297	0.52586298
298	0.5256569098
299	0.525501086
300	0.525223951
301	0.525023219
302	0.5247453784
303	0.5244719229
304	0.5242506795
305	0.5240236101
306	0.5237988243
307	0.5235926337
308	0.5233020173
309	0.5230954197
310	0.5228432685
311	0.5226619747
312	0.5224133939
313	0.5221977016
314	0.5219987755
315	0.521768557
316	0.5214612285
317	0.5212141991
318	0.5210180545
319	0.5208639654
320	0.5206548183
321	0.5204549658
322	0.52026717
323	0.5200041829
324	0.5198099188
325	0.5195487663
326	0.5193745542
327	0.5190128393
328	0.5188282372
329	0.5186551845
330	0.518497341
331	0.5182111034
332	0.5178927416
333	0.5176575806
334	0.5173838748
335	0.5171909498
336	0.5170134402
337	0.5168770962
338	0.5166570755
339	0.5164035142
340	0.5162243974
341	0.5159779183
342	0.5157893621
343	0.5155649437
344	0.5153821763
345	0.5151767633
346	0.514997995
347	0.5147582665
348	0.5146241332
349	0.5145155429
350	0.5143009507
351	0.5141369481
352	0.5138862002
353	0.5136746375
354	0.5134406587
355	0.5132453434
356	0.5131156711
357	0.5129107919
358	0.5127193481
359	0.5124849496
360	0.512267247
361	0.5120207259
362	0.5118059953
363	0.5116194678
364	0.5114100309
365	0.5111057866
366	0.5109220317
367	0.5107185641
368	0.5104867609
369	0.5102965761
370	0.5100982653
371	0.5098883353
372	0.5096207543
373	0.5093798789
374	0.5092100044
375	0.5088880196
376	0.5087195358
377	0.5085411646
378	0.5083491205
379	0.5081282234
380	0.507879273
381	0.507611168
382	0.5073528686
383	0.5071370306
384	0.5069267792
385	0.5067643553
386	0.5065808899
387	0.5063689714
388	0.5060339511
389	0.5058593653
390	0.5056081312
391	0.5053911103
392	0.5052398866
393	0.5050533968
394	0.5047508286
395	0.5045756828
396	0.5042868653
