iter	Passed	Remaining
408	5035	7276
409	5047	7263
410	5059	7250
411	5071	7237
412	5083	7225
413	5095	7212
414	5106	7198
415	5119	7186
416	5130	7173
417	5142	7160
418	5154	7147
419	5167	7135
420	5179	7122
421	5191	7109
422	5202	7097
423	5214	7084
424	5226	7071
425	5238	7058
426	5249	7044
427	5261	7032
428	5274	7020
429	5286	7007
430	5298	6994
431	5310	6981
432	5321	6968
433	5333	6956
434	5345	6943
435	5357	6930
436	5370	6918
437	5382	6906
438	5394	6893
439	5406	6880
440	5417	6867
441	5429	6854
442	5441	6841
443	5453	6828
444	5465	6816
445	5477	6803
446	5488	6790
447	5500	6777
448	5512	6764
449	5523	6751
450	5536	6739
451	5548	6726
452	5560	6713
453	5573	6703
454	5586	6691
455	5598	6679
456	5611	6667
457	5624	6655
458	5636	6643
459	5648	6630
460	5660	6618
461	5672	6605
462	5684	6592
463	5695	6579
464	5707	6566
465	5719	6554
466	5731	6541
467	5743	6528
468	5754	6515
469	5766	6502
470	5779	6491
471	5791	6478
472	5803	6465
473	5815	6453
474	5827	6441
475	5840	6429
476	5852	6417
477	5865	6405
478	5877	6393
479	5890	6381
480	5902	6368
481	5914	6356
482	5927	6344
483	5939	6332
484	5952	6320
485	5965	6308
486	5976	6295
487	5988	6283
488	6000	6270
489	6011	6257
490	6023	6244
491	6035	6232
492	6048	6219
493	6060	6207
494	6071	6194
495	6083	6181
496	6095	6168
497	6107	6156
498	6119	6143
499	6131	6131
500	6143	6118
501	6155	6105
502	6167	6093
503	6179	6081
504	6191	6068
505	6203	6056
506	6215	6044
507	6227	6031
508	6240	6020
509	6252	6007
510	6264	5994
511	6276	5982
512	6288	5969
513	6300	5957
514	6313	5945
515	6325	5932
516	6336	5920
517	6349	5908
518	6361	5895
519	6373	5882
520	6386	5871
521	6398	5859
522	6410	5846
523	6422	5834
524	6434	5821
525	6445	5808
526	6458	5796
527	6470	5784
528	6482	5772
529	6494	5759
530	6506	5747
531	6519	5734
532	6531	5722
533	6543	5710
534	6555	5697
535	6567	5685
536	6579	5672
537	6592	5661
538	6604	5649
539	6616	5636
540	6629	5624
541	6641	5612
542	6653	5599
543	6665	5587
544	6676	5574
545	6688	5561
546	6700	5548
547	6711	5536
548	6724	5524
549	6736	5511
550	6748	5499
551	6761	5487
