iter	Passed	Remaining
414	3242	4571
415	3250	4563
416	3257	4554
417	3265	4546
418	3273	4538
419	3280	4530
420	3288	4522
421	3295	4514
422	3303	4505
423	3310	4497
424	3318	4489
425	3325	4481
426	3333	4473
427	3340	4464
428	3348	4456
429	3355	4448
430	3363	4440
431	3370	4432
432	3378	4423
433	3385	4415
434	3393	4407
435	3400	4398
436	3408	4390
437	3416	4383
438	3424	4375
439	3432	4368
440	3440	4361
441	3448	4353
442	3455	4344
443	3463	4336
444	3470	4328
445	3478	4320
446	3485	4312
447	3492	4303
448	3500	4295
449	3507	4287
450	3515	4279
451	3522	4271
452	3530	4262
453	3537	4254
454	3545	4246
455	3552	4238
456	3560	4230
457	3568	4222
458	3575	4214
459	3583	4206
460	3590	4198
461	3598	4190
462	3605	4182
463	3613	4173
464	3620	4165
465	3628	4157
466	3635	4149
467	3643	4141
468	3651	4133
469	3658	4125
470	3666	4117
471	3673	4109
472	3681	4101
473	3688	4093
474	3696	4085
475	3703	4077
476	3711	4069
477	3719	4062
478	3727	4054
479	3734	4046
480	3742	4037
481	3749	4029
482	3757	4022
483	3765	4014
484	3772	4006
485	3780	3998
486	3787	3990
487	3795	3982
488	3802	3974
489	3810	3965
490	3818	3958
491	3825	3949
492	3833	3942
493	3840	3934
494	3848	3925
495	3855	3917
496	3863	3909
497	3870	3901
498	3878	3893
499	3885	3885
500	3893	3877
501	3900	3869
502	3908	3861
503	3915	3853
504	3923	3846
505	3931	3838
506	3939	3830
507	3946	3822
508	3954	3814
509	3962	3806
510	3969	3798
511	3977	3790
512	3984	3782
513	3992	3774
514	3999	3766
515	4007	3758
516	4015	3751
517	4022	3743
518	4030	3735
519	4037	3727
520	4045	3719
521	4053	3711
522	4060	3703
523	4068	3695
524	4076	3688
525	4083	3680
526	4091	3672
527	4098	3664
528	4106	3656
529	4113	3648
530	4121	3640
531	4129	3632
532	4136	3624
533	4144	3616
534	4152	3608
535	4159	3600
536	4167	3593
537	4174	3585
538	4182	3577
539	4190	3569
540	4197	3561
541	4205	3553
542	4212	3545
543	4220	3537
544	4227	3529
545	4235	3521
546	4242	3513
547	4250	3505
548	4257	3497
549	4265	3489
550	4272	3481
551	4280	3474
552	4288	3466
553	4295	3458
554	4303	3450
555	4310	3442
556	4318	3434
557	4325	3426
558	4333	3418
559	4340	3410
